city,state,latitude,longitude
New York,NY,40.7128,-74.006
Los Angeles,CA,34.0522,-118.2437
Chicago,IL,41.8781,-87.6298
Houston,TX,29.7604,-95.3698
Phoenix,AZ,33.4484,-112.074
Philadelphia,PA,39.9526,-75.1652
San Antonio,TX,29.4241,-98.4936
San Diego,CA,32.7157,-117.1611
Dallas,TX,32.7767,-96.797
San Jose,CA,37.3382,-121.8863
Austin,TX,30.2672,-97.7431
Jacksonville,FL,30.3322,-81.6557
Fort Worth,TX,32.7555,-97.3308
Columbus,OH,39.9612,-82.9988
Charlotte,NC,35.2271,-80.8431
San Francisco,CA,37.7749,-122.4194
Indianapolis,IN,39.7684,-86.1581
Seattle,WA,47.6062,-122.3321
Denver,CO,39.7392,-104.9903
Washington,DC,38.9072,-77.0369
Boston,MA,42.3601,-71.0589
El Paso,TX,31.7619,-106.485
Nashville,TN,36.1627,-86.7816
Detroit,MI,42.3314,-83.0458
Oklahoma City,OK,35.4676,-97.5164
Portland,OR,45.5051,-122.675
Las Vegas,NV,36.1699,-115.1398
Memphis,TN,35.1495,-90.049
Louisville,KY,38.2527,-85.7585
Baltimore,MD,39.2904,-76.6122
Milwaukee,WI,43.0389,-87.9065
Albuquerque,NM,35.0844,-106.6504
Tucson,AZ,32.2226,-110.9747
Fresno,CA,36.7378,-119.7871
Sacramento,CA,38.5816,-121.4944
Mesa,AZ,33.4152,-111.8315
Kansas City,MO,39.0997,-94.5786
Atlanta,GA,33.749,-84.388
Omaha,NE,41.2565,-95.9345
Raleigh,NC,35.7796,-78.6382
Miami,FL,25.7617,-80.1918
Long Beach,CA,33.7701,-118.1937
Virginia Beach,VA,36.8529,-75.978
Oakland,CA,37.8044,-122.2712
Minneapolis,MN,44.9778,-93.265
Tulsa,OK,36.1539,-95.9928
Arlington,TX,32.7357,-97.1081
Tampa,FL,27.9506,-82.4572
New Orleans,LA,29.9511,-90.0715
Wichita,KS,37.6872,-97.3301
Bakersfield,CA,35.3733,-119.0187
Aurora,CO,39.7294,-104.8319
Honolulu,HI,21.3069,-157.8583
Anaheim,CA,33.8366,-117.9143
Santa Ana,CA,33.7455,-117.8677
Corpus Christi,TX,27.8006,-97.3964
Riverside,CA,33.9806,-117.3755
Lexington,KY,38.0406,-84.5037
Stockton,CA,37.9577,-121.2908
Henderson,NV,36.0395,-114.9817
Saint Paul,MN,44.9537,-93.09
St. Louis,MO,38.627,-90.1994
Cincinnati,OH,39.1031,-84.512
Pittsburgh,PA,40.4406,-79.9959
Greensboro,NC,36.0726,-79.792
Anchorage,AK,61.2181,-149.9003
Plano,TX,33.0198,-96.6989
Lincoln,NE,40.8136,-96.7026
Orlando,FL,28.5383,-81.3792
Irvine,CA,33.6846,-117.8265
Newark,NJ,40.7357,-74.1724
Toledo,OH,41.6528,-83.5379
Durham,NC,35.994,-78.8986
Chula Vista,CA,32.6401,-117.0842
Fort Wayne,IN,41.0793,-85.1394
Jersey City,NJ,40.7178,-74.0431
St. Petersburg,FL,27.7676,-82.6403
Laredo,TX,27.5306,-99.4803
Chandler,AZ,33.3062,-111.8413
Madison,WI,43.0731,-89.4012
Lubbock,TX,33.5779,-101.8552
Scottsdale,AZ,33.4942,-111.9261
Reno,NV,39.5296,-119.8138
Buffalo,NY,42.8864,-78.8784
Gilbert,AZ,33.3528,-111.789
Glendale,AZ,33.5387,-112.186
North Las Vegas,NV,36.1989,-115.1175
Winston-Salem,NC,36.0999,-80.2442
Chesapeake,VA,36.7682,-76.2875
Norfolk,VA,36.8508,-76.2859
Fremont,CA,37.5483,-121.9886
Garland,TX,32.9126,-96.6389
Irving,TX,32.814,-96.9489
Hialeah,FL,25.8576,-80.2781
Richmond,VA,37.5407,-77.436
Boise,ID,43.615,-116.2023
Spokane,WA,47.6588,-117.426
Baton Rouge,LA,30.4515,-91.1871
Tacoma,WA,47.2529,-122.4443
San Bernardino,CA,34.1083,-117.2898
Modesto,CA,37.6391,-120.9969
Fontana,CA,34.0922,-117.435
Santa Clarita,CA,34.3917,-118.5426
Birmingham,AL,33.5186,-86.8104
Oxnard,CA,34.1975,-119.1771
Fayetteville,NC,35.0527,-78.8784
Moreno Valley,CA,33.9425,-117.2297
Rochester,NY,43.1566,-77.6088
Des Moines,IA,41.5868,-93.625
Grand Rapids,MI,42.9634,-85.6681
Huntington Beach,CA,33.6595,-117.9988
Salt Lake City,UT,40.7608,-111.891
Amarillo,TX,35.221997,-101.8313
Aurora,IL,41.7606,-88.3201
Columbus,GA,32.4609,-84.9877
Little Rock,AR,34.7465,-92.2896
Akron,OH,41.0814,-81.519
New Haven,CT,41.3083,-72.9279
Hartford,CT,41.7658,-72.6734
Providence,RI,41.824,-71.4128
Bridgeport,CT,41.1792,-73.1894
Albany,NY,42.6526,-73.7562
Santa Rosa,CA,38.4405,-122.7144
Eugene,OR,44.0521,-123.0868
Knoxville,TN,35.9606,-83.9207
Charleston,SC,32.7765,-79.9311
Columbia,SC,34.0007,-81.0348
Savannah,GA,32.0809,-81.0912
Dayton,OH,39.7589,-84.1916
Syracuse,NY,43.0481,-76.1474
Colorado Springs,CO,38.8339,-104.8214
